idx|tags|instrument|complexity|description|sortby|comment
1|rawcolumn,timefilter|all|simple|select all quotes before 8am|time,idx|
2|emptyresult,rawcolumn|all|simple|query trade with a single filter that filters out everything|time,idx|
3|manydummyfilters,rawcolumn,timefilter|all|simple|query contains multiple filters that do not filter out anything|time,idx|
4|rawcolumn,timefilter|all|simple|filter trades within a 10-second window at 10:00am|time,idx|
5|rawcolumn,timefilter|single:infrequent|simple|filter quotes for an instrument during regular trading hours (8:30–16:30)|time,idx|
6|rawcolumn,timefilter|single:frequent|simple|filter quotes for an instrument during regular trading hours (8:30–16:30)|time,idx|
7|rawcolumn,timefilter|multi:50|simple|filter quotes for a set of instruments in the first 5 minutes of trading (8:30–8:35)|time,idx|
8|rawcolumn,timefilter|multi:1000infreq|simple|filter quotes for a set of instruments in the first 5 minutes of trading (8:30–8:35)|time,idx|
9|rawcolumn|all|simple|filter trades from source "N" and select key columns|time,idx|
10||single:infrequent|simple|calculate mid quote for an instrument (provided as a parameter)|time,idx|
11||single:frequent|simple|calculate mid quote for an instrument (provided as a parameter)|time,idx|
12|unnecessarycolumnfetch|single:infrequent|simple|calculate mid quote for an instrument (provided as a parameter), fetching all columns first|time,idx|We fetch columns that we immediately throw away
13|unnecessarycolumnfetch|single:frequent|simple|calculate mid quote for an instrument (provided as a parameter), fetching all columns first|time,idx|We fetch columns that we immediately throw away
14|sort|single:infrequent|simple|calculate and sort mid quotes descending for an instrument (provided as a parameter). Sorting must be stable, i.e. keep time ordering for the same values|mid,time,idx|
15|sort|single:frequent|simple|calculate and sort mid quotes descending for an instrument (provided as a parameter). Sorting must be stable, i.e. keep time ordering for the same values|mid,time,idx|
16|rawcolumn|single:infrequent|simple|select key quote columns for an instrument|time,idx|
17|rawcolumn|single:frequent|simple|select key quote columns for an instrument|time,idx|
18|rawcolumn|multi:50|simple|select key quote columns for a set of instruments where combined bid+ask size exceeds 2000|time,idx|
19|rawcolumn|multi:1000infreq|simple|select key quote columns for a set of instruments where combined bid+ask size exceeds 2000|time,idx|
20||single:infrequent|simple|calculate overall average liquidity-weighted mid quote for an instrument||
